No.,PosX,PosY,PosZ,Rx,Ry,Rz,DWNx,DWNy,DWNz,Lx,Ly,Lz,
1,-0.270727808,0.093922397,3.7863E-05,-0.270829396,0.093922397,0.012737457,-0.270705288,0.080223781,3.80411E-05,-0.270626221,0.093922397,-0.012661731,
2,-0.263878562,0.093933027,5.6411E-05,-0.263859791,0.093933091,0.012756398,-0.26385911,0.080234411,5.64521E-05,-0.263897332,0.093932964,-0.012643576,
3,-0.257029315,0.093941479,2.71644E-05,-0.256960926,0.093941479,0.012726987,-0.257016137,0.080242849,2.70959E-05,-0.257097705,0.093941479,-0.012672658,
4,-0.250180068,0.09394526,-4.24658E-07,-0.250164359,0.093945235,0.012699563,-0.25017811,0.08024663,-4.52055E-07,-0.250195778,0.093945286,-0.012700412,
5,-0.243330753,0.093945205,-2.73973E-08,-0.243330753,0.09394518,0.012699973,-0.243330753,0.080246575,-5.47945E-08,-0.243330753,0.093945231,-0.012700027,
6,-0.236481438,0.093945205,-2.73973E-08,-0.236481438,0.09394518,0.012699973,-0.236481438,0.080246575,-5.47945E-08,-0.236481438,0.093945231,-0.012700027,
7,-0.229632123,0.093945205,-2.73973E-08,-0.229632123,0.09394518,0.012699973,-0.229632123,0.080246575,-5.47945E-08,-0.229632123,0.093945231,-0.012700027,
8,-0.222782808,0.093945205,-2.73973E-08,-0.222782808,0.09394518,0.012699973,-0.222782808,0.080246575,-5.47945E-08,-0.222782808,0.093945231,-0.012700027,
9,-0.215933493,0.093945205,-2.73973E-08,-0.215933493,0.09394518,0.012699973,-0.215933493,0.080246575,-5.47945E-08,-0.215933493,0.093945231,-0.012700027,
10,-0.209084178,0.093945205,-2.73973E-08,-0.209084178,0.09394518,0.012699973,-0.209084178,0.080246575,-5.47945E-08,-0.209084178,0.093945231,-0.012700027,
11,-0.202234863,0.093945205,-2.73973E-08,-0.202234863,0.09394518,0.012699973,-0.202234863,0.080246575,-5.47945E-08,-0.202234863,0.093945231,-0.012700027,
12,-0.195385548,0.093945205,-2.73973E-08,-0.195385548,0.09394518,0.012699973,-0.195385548,0.080246575,-5.47945E-08,-0.195385548,0.093945231,-0.012700027,
13,-0.188536233,0.093945205,-2.73973E-08,-0.188536233,0.09394518,0.012699973,-0.188536233,0.080246575,-5.47945E-08,-0.188536233,0.093945231,-0.012700027,
14,-0.181686918,0.093945205,-2.73973E-08,-0.181686918,0.09394518,0.012699973,-0.181686918,0.080246575,-5.47945E-08,-0.181686918,0.093945231,-0.012700027,
15,-0.174837603,0.093945205,-2.73973E-08,-0.174837603,0.09394518,0.012699973,-0.174837603,0.080246575,-5.47945E-08,-0.174837603,0.093945231,-0.012700027,
16,-0.167988288,0.093945205,-2.73973E-08,-0.167988288,0.09394518,0.012699973,-0.167988288,0.080246575,-5.47945E-08,-0.167988288,0.093945231,-0.012700027,
17,-0.161138973,0.093945205,-2.73973E-08,-0.161138973,0.09394518,0.012699973,-0.161138973,0.080246575,-5.47945E-08,-0.161138973,0.093945231,-0.012700027,
18,-0.154289658,0.093945205,-2.73973E-08,-0.154289658,0.09394518,0.012699973,-0.154289658,0.080246575,-5.47945E-08,-0.154289658,0.093945231,-0.012700027,
19,-0.147440342,0.093945205,-2.73973E-08,-0.147440342,0.09394518,0.012699973,-0.147440342,0.080246575,-5.47945E-08,-0.147440342,0.093945231,-0.012700027,
20,-0.140591027,0.093945205,-2.73973E-08,-0.140591027,0.09394518,0.012699973,-0.140591027,0.080246575,-5.47945E-08,-0.140591027,0.093945231,-0.012700027,
21,-0.133741712,0.093945205,-2.73973E-08,-0.133741712,0.093945193,0.012699973,-0.133741712,0.080246575,-4.10959E-08,-0.133741712,0.093945218,-0.012700027,
22,-0.126892397,0.093945205,-2.73973E-08,-0.126892397,0.093945193,0.012699973,-0.126892397,0.080246575,-4.10959E-08,-0.126892397,0.093945218,-0.012700027,
23,-0.120043082,0.093945205,-2.73973E-08,-0.120043082,0.093945193,0.012699973,-0.120043082,0.080246575,-4.10959E-08,-0.120043082,0.093945218,-0.012700027,
24,-0.113193767,0.093945205,-1.36986E-08,-0.113193767,0.093945193,0.012699986,-0.113193767,0.080246575,-2.73973E-08,-0.113193767,0.093945218,-0.012700014,
25,-0.106344452,0.093945205,-1.36986E-08,-0.106344452,0.093945193,0.012699986,-0.106344452,0.080246575,-2.73973E-08,-0.106344452,0.093945218,-0.012700014,
26,-0.099495137,0.093945205,-1.36986E-08,-0.099495137,0.093945193,0.012699986,-0.099495137,0.080246575,-2.73973E-08,-0.099495137,0.093945218,-0.012700014,
27,-0.092645822,0.093945205,-1.36986E-08,-0.092645822,0.093945193,0.012699986,-0.092645822,0.080246575,-2.73973E-08,-0.092645822,0.093945218,-0.012700014,
28,-0.085796507,0.093945205,-1.36986E-08,-0.085796507,0.093945193,0.012699986,-0.085796507,0.080246575,-2.73973E-08,-0.085796507,0.093945218,-0.012700014,
29,-0.078947192,0.093945205,-1.36986E-08,-0.078947192,0.093945193,0.012699986,-0.078947192,0.080246575,-2.73973E-08,-0.078947192,0.093945218,-0.012700014,
30,-0.072097877,0.093945205,-1.36986E-08,-0.072097877,0.093945193,0.012699986,-0.072097877,0.080246575,-2.73973E-08,-0.072097877,0.093945218,-0.012700014,
31,-0.065248562,0.093945205,-1.36986E-08,-0.065248562,0.093945193,0.012699986,-0.065248562,0.080246575,-2.73973E-08,-0.065248562,0.093945218,-0.012700014,
32,-0.058399247,0.093945205,-1.36986E-08,-0.058399247,0.093945193,0.012699986,-0.058399247,0.080246575,-2.73973E-08,-0.058399247,0.093945218,-0.012700014,
33,-0.051549932,0.093945205,-1.36986E-08,-0.051549932,0.093945193,0.012699986,-0.051549932,0.080246575,-2.73973E-08,-0.051549932,0.093945218,-0.012700014,
34,-0.044700616,0.093945205,-1.36986E-08,-0.044700616,0.093945193,0.012699986,-0.044700616,0.080246575,-2.73973E-08,-0.044700616,0.093945218,-0.012700014,
35,-0.037851301,0.093945205,-1.36986E-08,-0.037851301,0.093945193,0.012699986,-0.037851301,0.080246575,-2.73973E-08,-0.037851301,0.093945218,-0.012700014,
36,-0.031001986,0.093945205,-1.36986E-08,-0.031001986,0.093945193,0.012699986,-0.031001986,0.080246575,-2.73973E-08,-0.031001986,0.093945218,-0.012700014,
37,-0.024152671,0.093945205,-1.36986E-08,-0.024152671,0.093945193,0.012699986,-0.024152671,0.080246575,-2.73973E-08,-0.024152671,0.093945218,-0.012700014,
38,-0.017303356,0.093945205,-1.36986E-08,-0.017303356,0.093945193,0.012699986,-0.017303356,0.080246575,-2.73973E-08,-0.017303356,0.093945218,-0.012700014,
39,-0.010454041,0.093945205,-1.36986E-08,-0.010454041,0.093945193,0.012699986,-0.010454041,0.080246575,-2.73973E-08,-0.010454041,0.093945218,-0.012700014,
40,-0.003604726,0.093945205,-1.36986E-08,-0.003604726,0.093945193,0.012699986,-0.003604726,0.080246575,-2.73973E-08,-0.003604726,0.093945218,-0.012700014,
41,0.003244589,0.093945205,-1.36986E-08,0.003244589,0.093945193,0.012699986,0.003244589,0.080246575,-2.73973E-08,0.003244589,0.093945218,-0.012700014,
42,0.010093904,0.093945205,-1.36986E-08,0.010093904,0.093945193,0.012699986,0.010093904,0.080246575,-2.73973E-08,0.010093904,0.093945218,-0.012700014,
43,0.016943219,0.093945205,-1.36986E-08,0.016943219,0.093945193,0.012699986,0.016943219,0.080246575,-2.73973E-08,0.016943219,0.093945218,-0.012700014,
44,0.023792534,0.093945205,-1.36986E-08,0.023792534,0.093945193,0.012699986,0.023792534,0.080246575,-2.73973E-08,0.023792534,0.093945218,-0.012700014,
45,0.030641849,0.093945205,-1.36986E-08,0.030641849,0.093945193,0.012699986,0.030641849,0.080246575,-2.73973E-08,0.030641849,0.093945218,-0.012700014,
46,0.037491164,0.093945205,-1.36986E-08,0.037491164,0.093945193,0.012699986,0.037491164,0.080246575,-2.73973E-08,0.037491164,0.093945218,-0.012700014,
47,0.044340479,0.093945205,-1.36986E-08,0.044340479,0.093945193,0.012699986,0.044340479,0.080246575,-2.73973E-08,0.044340479,0.093945218,-0.012700014,
48,0.051189795,0.093945205,-1.36986E-08,0.051189795,0.093945193,0.012699986,0.051189795,0.080246575,-2.73973E-08,0.051189795,0.093945218,-0.012700014,
49,0.05803911,0.093945205,-1.36986E-08,0.05803911,0.093945193,0.012699986,0.05803911,0.080246575,-2.73973E-08,0.05803911,0.093945218,-0.012700014,
50,0.064888425,0.093945205,-1.36986E-08,0.064888425,0.093945193,0.012699986,0.064888425,0.080246575,-2.73973E-08,0.064888425,0.093945218,-0.012700014,
51,0.07173774,0.093945205,-1.36986E-08,0.07173774,0.093945193,0.012699986,0.07173774,0.080246575,-2.73973E-08,0.07173774,0.093945218,-0.012700014,
52,0.078587055,0.093945205,-1.36986E-08,0.078587055,0.093945193,0.012699986,0.078587055,0.080246575,-2.73973E-08,0.078587055,0.093945218,-0.012700014,
53,0.08543637,0.093945205,-1.36986E-08,0.08543637,0.093945193,0.012699986,0.08543637,0.080246575,-2.73973E-08,0.08543637,0.093945218,-0.012700014,
54,0.092285685,0.093945205,-1.36986E-08,0.092285685,0.093945193,0.012699986,0.092285685,0.080246575,-2.73973E-08,0.092285685,0.093945218,-0.012700014,
55,0.099135,0.093945205,-1.36986E-08,0.099135,0.093945193,0.012699986,0.099135,0.080246575,-2.73973E-08,0.099135,0.093945218,-0.012700014,
56,0.105984315,0.093945205,-1.36986E-08,0.105984315,0.093945193,0.012699986,0.105984315,0.080246575,-2.73973E-08,0.105984315,0.093945218,-0.012700014,
57,0.11283363,0.093945205,-1.36986E-08,0.11283363,0.093945193,0.012699986,0.11283363,0.080246575,-2.73973E-08,0.11283363,0.093945218,-0.012700014,
58,0.119682945,0.093945205,-1.36986E-08,0.119682945,0.093945205,0.012699986,0.119682945,0.080246575,-1.36986E-08,0.119682945,0.093945205,-0.012700014,
59,0.12653226,0.093945205,0,0.12653226,0.093945205,0.0127,0.12653226,0.080246575,0,0.12653226,0.093945205,-0.0127,
60,0.133381575,0.093945205,0,0.133381575,0.093945205,0.0127,0.133381575,0.080246575,0,0.133381575,0.093945205,-0.0127,
61,0.14023089,0.093945205,0,0.14023089,0.093945205,0.0127,0.14023089,0.080246575,0,0.14023089,0.093945205,-0.0127,
62,0.147080205,0.093945205,0,0.147080205,0.093945205,0.0127,0.147080205,0.080246575,0,0.147080205,0.093945205,-0.0127,
63,0.153929521,0.093945205,0,0.153929521,0.093945205,0.0127,0.153929521,0.080246575,0,0.153929521,0.093945205,-0.0127,
64,0.160778836,0.093945205,0,0.160778836,0.093945205,0.0127,0.160778836,0.080246575,0,0.160778836,0.093945205,-0.0127,
65,0.167628151,0.093945205,0,0.167628151,0.093945205,0.0127,0.167628151,0.080246575,0,0.167628151,0.093945205,-0.0127,
66,0.174477466,0.093945205,0,0.174477466,0.093945205,0.0127,0.174477466,0.080246575,0,0.174477466,0.093945205,-0.0127,
67,0.181326781,0.093945205,0,0.181326781,0.093945205,0.0127,0.181326781,0.080246575,0,0.181326781,0.093945205,-0.0127,
